"Product_Code","Ref","Description","ItemRange","Width","Height","ItemSalesPrice_excl","ItemColour","LabourSiteFit","LabourFactory","IsTemplate"
"P4T 2418 38mm","A2532","38mm CASEMENT","38 Casement","2390","1490","R8,338.54","WHITE","R1,158.13","R1,489.03","TRUE"
"PT0606. 38mm","A2532","38mm CASEMENT","38 Casement","590","590","R1,299.00","WHITE","R180.42","R231.96","FALSE"
"PT0609. 38mm","A2532","38mm CASEMENT","38 Casement","590","890","R1,966.71","WHITE","R273.15","R351.20","TRUE"
"PT0612. 38mm","A2532","38mm CASEMENT","38 Casement","590","1190","R2,187.79","WHITE","R303.86","R390.68","TRUE"
"PT0615 38mm","A2532","38mm CASEMENT","38 Casement","590","1490","R2,419.28","WHITE","R336.01","R432.01","TRUE"
"PT0618 38mm","A2532","38mm CASEMENT","38 Casement","590","1790","R2,809.21","WHITE","R390.17","R501.64","TRUE"
"PT1206 38mm","A2532","38mm CASEMENT","38 Casement","1190","590","R2,187.80","WHITE","R303.86","R390.68","TRUE"
"PT1212 38mm","A2532","38mm CASEMENT","38 Casement","1190","1190","R3,021.15","WHITE","R419.60","R539.49","TRUE"
"PT1215 38mm","A2532","38mm CASEMENT","38 Casement","1190","1490","R3,793.55","WHITE","R526.88","R677.42","TRUE"
"PTT 1815 - 873sash 38mm","A2532","38mm CASEMENT","38 Casement","1790","1490","R5,824.53","WHITE","R808.96","R1,040.09","TRUE"
"PTT0612. 38mm","A2532","38mm CASEMENT","38 Casement","590","1190","R2,911.48","WHITE","R404.37","R519.91","TRUE"
"PTT0615. 38mm","A2532","38mm CASEMENT","38 Casement","590","1490","R3,361.54","WHITE","R466.88","R600.27","TRUE"
"PTT0618 38mm","A2532","38mm CASEMENT","38 Casement","590","1790","R3,649.69","WHITE","R506.90","R651.73","TRUE"
"PTT1212 38mm","A2532","38mm CASEMENT","38 Casement","1190","1190","R3,962.39","WHITE","R550.33","R707.57","TRUE"
"PTT1215 38mm","A2532","38mm CASEMENT","38 Casement","1190","1490","R4,727.19","WHITE","R656.55","R844.14","TRUE"
"PTT1218 38mm","A2532","38mm CASEMENT","38 Casement","1190","1790","R5,318.93","WHITE","R738.74","R949.81","TRUE"
"PTT1812 38mm","A2532","38mm CASEMENT","38 Casement","1790","1190","R3,949.02","WHITE","R548.48","R705.18","TRUE"
"PTT1815 - 573 sash 38mm","A2532","38mm CASEMENT","38 Casement","1790","1490","R5,522.08","WHITE","R766.96","R986.09","TRUE"
"A9732-Kitchen","A9732","38mm CASEMENT - Alu B/Bars","38 Casement","510","930","R1,043.70","Charcoal","R116.48","R163.08","FALSE"
"A9732-W 1","A9732","38mm CASEMENT - Alu B/Bars","38 Casement","2465","340","R1,856.61","Charcoal","R207.21","R290.10","FALSE"
"A9732-W 2","A9732","38mm CASEMENT","38 Casement","1490","335","R719.77","Charcoal","R80.33","R112.46","FALSE"
"A9732-W 3","A9732","38mm CASEMENT - Alu B/Bars","38 Casement","1490","1290","R2,638.46","Charcoal","R294.47","R412.26","FALSE"
"B1467-sdadf","B1467","38mm CASEMENT","38 Casement","2390","1490","R6,486.21","Nat25","R723.91","R1,013.47","FALSE"
"B1467-sdfawer","B1467","38mm CASEMENT","38 Casement","2390","1490","R5,649.09","CHARCOAL","R630.48","R882.67","FALSE"
"B1467-sdrgsdfg","B1467","38mm CASEMENT","38 Casement","2390","1490","R5,649.09","Bronze","R630.48","R882.67","FALSE"
"B1467-werwer","B1467","38mm CASEMENT","38 Casement","1790","1490","R3,875.07","WHITE","R432.49","R605.48","FALSE"
"B1885-Bathroom","B1885","38mm CASEMENT","38 Casement","1490","630","R3,035.48","WHITE","R286.54","R401.15","FALSE"
"B1885-Kitchen","B1885","38mm CASEMENT","38 Casement","1490","1005","R4,030.30","WHITE","R374.81","R524.74","FALSE"
"B2403-w2","B2403","38mm CASEMENT","38 Casement","1000","600","R1,877.64","SPECIAL C3|VP 7105","R176.70","R247.37","FALSE"
"B2403-w6","B2403","38mm CASEMENT","38 Casement","750","600","R568.51","SPECIAL C3|VP 7105","R148.22","R207.50","FALSE"
"B2497-Bed 1 Opt 3","B2497","38mm CASEMENT - Double G;azed Glass With Colonial Bars inside (x1) bar horizontally","38 Casement","1485","1240","R5,486.53","WHITE","R612.34","R857.27","FALSE"
"B2497-Bed 2 Opt 3","B2497","38mm CASEMENT - Colonial Bars inside double glazed glass (x3) Bars horizontally","38 Casement","1480","1225","R7,216.21","WHITE","R537.92","R753.09","FALSE"
"B2497-DW1","B2497","38mm CASEMENT - No Bars","38 Casement","770","270","R598.61","WHITE","R66.81","R93.53","FALSE"
"B2497-Kitchen Opt 3","B2497","38mm CASEMENT - Double Glazed Glass with Colonial Bars Inside (x1) Horizontally","38 Casement","995","1250","R5,580.50","WHITE","R435.98","R610.37","FALSE"
"B2497-Shower Opt 3","B2497","38mm CASEMENT - No Bars","38 Casement","500","930","R3,206.84","WHITE","R250.53","R350.75","FALSE"
"B2646-Main Bed","B2646","38mm CASEMENT","38 Casement","1695","1200","R7,772.75","WHITE","R635.95","R890.34","FALSE"
"B2837-FRONT W2","B2837","38mm CASEMENT LOCKABLE HANDLE","38 Casement","965","1400","R2,547.46","CHARCOAL","R0.00","R340.55","FALSE"
"B2893-W2","B2893","38mm CASEMENT","38 Casement","1000","630","R1,877.92","WHITE","R133.37","R186.72","FALSE"
"B2943-W1","B2943","38mm CASEMENT","38 Casement","790","1530","R2,038.77","CHARCOAL","R227.54","R318.56","FALSE"
"B2943-W10","B2943","38mm CASEMENT","38 Casement","4700","760","R1,456.15","CHARCOAL","R162.52","R227.52","FALSE"
"B2943-W11","B2943","38mm CASEMENT","38 Casement","4300","760","R1,359.27","CHARCOAL","R151.70","R212.39","FALSE"
"B2943-W12","B2943","38mm CASEMENT - Skew Window . Bottom = 3055 , Left = 530 & Right 210","38 Casement","3055","530","R882.26","CHARCOAL","R98.47","R137.85","FALSE"
"B2943-W13","B2943","38mm CASEMENT","38 Casement","4295","230","R1,145.54","CHARCOAL","R127.85","R178.99","FALSE"
"B2943-W14","B2943","38mm CASEMENT","38 Casement","4700","220","R1,239.76","CHARCOAL","R138.37","R193.71","FALSE"
"B2943-W2","B2943","38mm CASEMENT","38 Casement","780","2620","R2,987.67","CHARCOAL","R333.45","R466.82","FALSE"
"B2943-W3","B2943","38mm CASEMENT","38 Casement","1185","2110","R2,702.27","CHARCOAL","R301.59","R422.23","FALSE"
"B2943-W4","B2943","38mm CASEMENT","38 Casement","1195","2110","R5,569.78","CHARCOAL","R621.63","R870.28","FALSE"
"B2943-W5","B2943","38mm CASEMENT","38 Casement","785","1670","R3,083.74","CHARCOAL","R344.17","R481.83","FALSE"
"B2943-W6","B2943","38mm CASEMENT","38 Casement","475","2110","R2,488.82","CHARCOAL","R277.77","R388.88","FALSE"
"B2943-W7","B2943","38mm CASEMENT","38 Casement","305","2110","R1,175.09","CHARCOAL","R131.15","R183.61","FALSE"
"B2943-W9","B2943","38mm CASEMENT - Skew Window .. Right = 530 , Left = 325 & Bottom = 1940","38 Casement","1940","530","R614.87","CHARCOAL","R68.62","R96.07","FALSE"
"B2951-W1","B2951","38mm CASEMENT","38 Casement","790","1595","R2,095.32","CHARCOAL","R233.85","R327.39","FALSE"
"B2951-W10","B2951","38mm CASEMENT","38 Casement","4705","760","R3,580.36","CHARCOAL","R399.59","R559.43","FALSE"
"B2951-W11","B2951","38mm CASEMENT","38 Casement","4300","760","R7,231.92","CHARCOAL","R807.13","R1,129.99","FALSE"
"B2951-W12","B2951","38mm CASEMENT - Skew Window Bottom = 3055 , Left = 530 & Right = 210","38 Casement","3055","530","R882.26","CHARCOAL","R98.47","R137.85","FALSE"
"B2951-W13","B2951","38mm CASEMENT","38 Casement","4300","220","R1,787.02","CHARCOAL","R199.44","R279.22","FALSE"
"B2951-W14","B2951","38mm CASEMENT","38 Casement","4700","215","R2,843.52","CHARCOAL","R317.36","R444.30","FALSE"
"B2951-W2","B2951","38mm CASEMENT","38 Casement","780","2620","R2,987.67","CHARCOAL","R333.45","R466.82","FALSE"
"B2951-W3","B2951","38mm CASEMENT","38 Casement","1185","2110","R2,702.27","CHARCOAL","R301.59","R422.23","FALSE"
"B2951-W4","B2951","38mm CASEMENT","38 Casement","1185","2100","R5,503.23","CHARCOAL","R614.20","R859.88","FALSE"
"B2951-W5","B2951","38mm CASEMENT","38 Casement","785","1670","R3,083.74","CHARCOAL","R344.17","R481.83","FALSE"
"B2951-W6","B2951","38mm CASEMENT","38 Casement","465","2110","R2,446.29","CHARCOAL","R273.02","R382.23","FALSE"
"B2951-W7","B2951","38mm CASEMENT","38 Casement","295","2110","R1,157.95","CHARCOAL","R129.24","R180.93","FALSE"
"B2951-W9","B2951","38mm CASEMENT - Skew Window .. Bottom = 1940 , Left = 325 & Right = 530","38 Casement","1940","530","R614.87","CHARCOAL","R68.62","R96.07","FALSE"
"B3072-W 1","B3072","38mm CASEMENT","38 Casement","975","540","R1,904.61","BRONZE","R165.33","R231.46","FALSE"
"B3072-W 2","B3072","38mm CASEMENT,Restrictor Stay","38 Casement","975","540","R2,198.74","BRONZE","R182.21","R255.10","FALSE"
"B3385-Dining Room","B3385","38mm CASEMENT","38 Casement","1190","1200","R8,447.17","BRONZE","R465.39","R651.55","FALSE"
"B3385-W 1 Opt 2","B3385","38mm CASEMENT","38 Casement","1180","1200","R8,447.17","BRONZE","R462.56","R647.58","FALSE"
"B3506-EW6","B3506","38mm CASEMENT","38 Casement","1210","1200","R2,908.90","WHITE","R324.65","R454.52","FALSE"
"B3531-Bathroom W2","B3531","38mm CASEMENT","38 Casement","900","900","R2,127.34","SILVER","R237.43","R332.40","FALSE"
"B3531-Family Room a W12","B3531","38mm CASEMENT","38 Casement","1290","1000","R3,036.05","SILVER","R338.85","R474.38","FALSE"
"B3531-Family Room W11","B3531","38mm CASEMENT","38 Casement","1500","1300","R4,853.26","SILVER","R541.66","R758.32","FALSE"
"B3531-Kitchen W1","B3531","38mm CASEMENT","38 Casement","1700","1000","R4,779.49","SILVER","R533.42","R746.79","FALSE"
"B3540-NW1&3","B3540","38mm CASEMENT","38 Casement","1135","1200","R3,087.22","WHITE","R344.56","R482.38","FALSE"
"B3540-NW11","B3540","38mm CASEMENT - Restrictor Stays .. Scool Clip Handle - No Handle Holes","38 Casement","1150","630","R2,031.55","WHITE","R226.74","R317.43","FALSE"
"B3540-NW12","B3540","38mm CASEMENT","38 Casement","2900","630","R3,888.63","WHITE","R434.00","R607.60","FALSE"
"B3540-NW2","B3540","38mm CASEMENT","38 Casement","485","1200","R1,452.74","WHITE","R162.14","R226.99","FALSE"
"B3540-NW4","B3540","38mm CASEMENT","38 Casement","1900","630","R2,856.62","WHITE","R318.82","R446.35","FALSE"
"B3540-NW5","B3540","38mm CASEMENT","38 Casement","1290","680","R2,421.30","WHITE","R270.23","R378.33","FALSE"
"B3540-NW6","B3540","38mm CASEMENT","38 Casement","1120","1070","R2,966.53","WHITE","R331.09","R463.52","FALSE"
"B3540-NW7","B3540","38mm CASEMENT","38 Casement","1700","1200","R5,206.15","WHITE","R581.04","R813.46","FALSE"
"B3540-NW8","B3540","38mm CASEMENT","38 Casement","1120","1200","R3,059.75","WHITE","R341.49","R478.09","FALSE"
"B3540-NW9","B3540","38mm CASEMENT - Restrictor Stays .. School Clip Handles - No Handle Holes","38 Casement","1890","630","R2,861.40","WHITE","R319.35","R447.09","FALSE"
"B3689-Living Room","B3689","38mm CASEMENT - Low E DG","38 Casement","2400","600","R3,461.69","SILVER","R386.35","R540.89","FALSE"
"B3753-W1 Insert","B3753","38mm CASEMENT","38 Casement","1053","1858","R3,363.54","WHITE","R375.40","R525.55","FALSE"
"B3940-Wa","B3940","38mm CASEMENT","38 Casement","1820","1500","R4,483.20","NAT25","R500.36","R700.50","FALSE"
"B3940-Wb","B3940","38mm CASEMENT","38 Casement","1510","1500","R3,784.78","NAT25","R422.41","R591.37","FALSE"
"B4000-W 1","B4000","38mm CASEMENT - Small Pane Colonial Bars Inserted into 5mm+5mm  Double Glazed Glass (2x3 panes )","38 Casement","450","1100","R1,370.45","BLACK","R182.75","R255.85","FALSE"
"B4000-W 6","B4000","38mm CASEMENT - Small Pane Colonial Bars inserted into 5mm+5mm double Glazed Glass ( 2x3 Panes )","38 Casement","600","1100","R1,737.88","BLACK","R230.04","R322.06","FALSE"
